tweet_id,created_at,date,hour,weekday,user_name,country,posted_via,client,user_followers,user_verified,hashtags,tweet_text,text_clean,p_negative,p_neutral,p_positive,sentiment,sentiment_score,confidence,margin
t00000,2020-07-24 23:47:51,2020-07-24,23,Friday,Jonathan Orbuda - I Love Tansyong TV 👨💻,,Twitter website,Twitter Web App,432,False,,15 Years after PARENTS are excited about getting an internet connection so their kids can do the so-called... https://t.co/7Uuo66UjRj,year parent excited getting internet connection kid,0.0063,0.2082,0.7854,Positive,0.7791,0.7854,0.5772
t00001,2020-07-24 23:48:17,2020-07-24,23,Friday,Hope For Tomorrow,United States,Phone or tablet app,Twitter for Android,4005,False,['covid19'],"@realDonaldTrump 1,000 Americans are dying each day of #covid19, and that son of a bitch Trump is taking a golfing weekend....",american dying day son bitch trump taking golfing weekend,0.933,0.0582,0.0089,Negative,-0.9241,0.933,0.8748
t00002,2020-07-24 23:49:17,2020-07-24,23,Friday,Wear a mask. Wear a mask. Wear a mask. Wear a mask,,Twitter website,Twitter Web App,36,False,['COVID19'],"The graph shows new cases, as opposed to deaths. Not a good milestone, regardless. #COVID19 https://t.co/rCkb4UwN1t",graph show new case opposed death good milestone regardless,0.8686,0.1244,0.007,Negative,-0.8616,0.8686,0.7442
t00003,2020-07-24 23:50:00,2020-07-24,23,Friday,JoeyIsEditingSendChocolate,United States,Phone or tablet app,Twitter for Android,1811,False,['COVID19'],@ThePubliusUSA Chaos. Martial law. Suspended election. Hide the truth about #COVID19. That's Trump's plan.,chaos martial law suspended election hide truth trump plan,0.8627,0.1291,0.0082,Negative,-0.8545,0.8627,0.7336
t00004,2020-07-24 23:50:02,2020-07-24,23,Friday,ConcertoHealth,United States,Scheduling tool,Sprout Social,1031,False,['QuickHealthTip'],#QuickHealthTip from @ConcertoHealth. Stay connected! Talking with loved ones while in isolation during the... https://t.co/brSUfKeeg5,quickhealthtip stay connected talking loved one isolation,0.0059,0.6281,0.366,Neutral,0.3601,0.6281,0.2621
t00005,2020-07-24 23:50:10,2020-07-24,23,Friday,Rocky Scopelliti,Australia,Phone or tablet app,Twitter for iPad,1030,False,,A Newly-Discovered Tiny CRISPR Protein Packs a Giant Punch For Human Gene Editing https://t.co/UyUX1rDoEO via... https://t.co/Udw7rlS5gn,tiny crispr protein pack giant punch human gene editing via,0.0082,0.8304,0.1614,Neutral,0.1532,0.8304,0.669
t00006,2020-07-24 23:50:12,2020-07-24,23,Friday,JAYNIE SEAL,,Twitter website,Twitter Web App,23196,True,['WeekendLive'],Coming up on #WeekendLive 10am-1pm AEST * @michaelhawton Psychologist. High levels of anxiety in children &amp; vital t... https://t.co/RmfRMBWg3o,coming weekendlive aest psychologist high level anxiety child vital,0.0643,0.8996,0.0361,Neutral,-0.0282,0.8996,0.8353
t00007,2020-07-24 23:50:27,2020-07-24,23,Friday,Jeff SchwartZ,,Phone or tablet app,Twitter for iPhone,615,False,['COVID19'],If anyone could destroy #COVID19 its @Zionwilliamson https://t.co/leX6GdJNev,anyone could destroy,0.4101,0.2825,0.3074,Negative,-0.1027,0.4101,0.1027
t00008,2020-07-24 23:50:49,2020-07-24,23,Friday,Anne Huang| 黃安安,,Phone or tablet app,Twitter for iPhone,1278,False,['Taiwan'],"@SammyTheGorilla In #Taiwan, my understanding is that parents do play an important role. At same time, children w... https://t.co/op9q0D8s1T",taiwan understanding parent play important role time child,0.0143,0.7724,0.2133,Neutral,0.199,0.7724,0.5591
t00009,2020-07-24 23:50:57,2020-07-24,23,Friday,Pullman WA Updates,United States,Twitter website,Twitter Web App,5052,False,,REGIONAL: 7 New Cases of Coronavirus have been Confirmed in Latah County - total now 61 after a big spike:... https://t.co/rvtYMpwDHl,regional new case confirmed latah county total big spike,0.1507,0.8085,0.0408,Neutral,-0.1099,0.8085,0.6579
t00010,2020-07-24 23:51:12,2020-07-24,23,Friday,Biotechnology AI Fintech Researcher,United States,Twitter website,Twitter Web App,4345,False,"['Covid19', 'Healthcare']",Gilead Sciences Update On The Company’s Ongoing Response To COVID-19 https://t.co/1ZD4Qyfaxa $GILD #Covid19 #Healthcare,gilead science update company ongoing response gild healthcare,0.0223,0.8636,0.1141,Neutral,0.0918,0.8636,0.7495
t00011,2020-07-24 23:51:16,2020-07-24,23,Friday,Fiona_No_ID_Lady,,Phone or tablet app,Twitter for iPhone,551,False,"['Idaho', 'COVID19']",Mixed bag for #Idaho Panhandle HD today - new #COVID19 cases decreased from 81 yesterday to 51 today. Unfortunately... https://t.co/RH37Ho2BrB,mixed bag idaho panhandle today new case decreased yesterday today unfortunately,0.8411,0.1489,0.0101,Negative,-0.831,0.8411,0.6922
t00012,2020-07-24 23:52:03,2020-07-24,23,Friday,NASDSE,United States,Scheduling tool,Buffer,524,False,['pandemic'],"Q7 Ultimately, do you believe the #pandemic will change the structure of education permanently or will the current... https://t.co/PBAhkIWAbJ",ultimately believe pandemic change structure education permanently current,0.1527,0.8301,0.0172,Neutral,-0.1355,0.8301,0.6774
