user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Jonathan Orbuda - I Love Tansyong TV 👨‍💻,"Mandaluyong City, Ph",WORK-LIFE BALANCE   💻Blogger   📹Youtuber   🏄Adven-Tourist   📰Risktaker  -https://t.co/o6D0Ox7wor✈️,2009-01-05 07:36:32,432,63,223,False,2020-07-24 23:47:51,15 Years after PARENTS are excited about getting an internet connection so their kids can do the so-called… https://t.co/7Uuo66UjRj,,Twitter Web App,False
𝐇𝐨𝐩𝐞 𝐅𝐨𝐫 𝐓𝐨𝐦𝐨𝐫𝐫𝐨𝐰,"East Coast, USA","#BREAKING #news
150 Global Resources | Award Winning Journalist | Truth Seeker & Lie Slayer | Vote Trump OUT In 1️⃣0️⃣2️⃣ Days",2015-08-16 12:26:04,4005,3996,3027,False,2020-07-24 23:48:17,"@realDonaldTrump 1,000 Americans are dying each day of #covid19, and that son of a bitch Trump is taking a golfing weekend....",['covid19'],Twitter for Android,False
Wear a mask. Wear a mask. Wear a mask. Wear a mask,South-ish,Disabled. Mother of 2 teenagers and caretaker to many dogs and cats. I read. She/her.,2014-03-22 17:58:37,36,237,3228,False,2020-07-24 23:49:17,"The graph shows new cases, as opposed to deaths. Not a good milestone, regardless. #COVID19 https://t.co/rCkb4UwN1t",['COVID19'],Twitter Web App,False
JoeyIsEditingSendChocolate,"California, USA","Author, pub radio freelancer, artist, dog friend, oddball. Mask maker, mask wearer. Ignorer of DMs. #amwriting #amediting",2011-06-18 16:41:27,1811,1594,22653,False,2020-07-24 23:50:00,@ThePubliusUSA Chaos. Martial law.  Suspended election. Hide the truth about  #COVID19. That's Trump's plan.,['COVID19'],Twitter for Android,False
ConcertoHealth,"Irvine, CA",#ConcertoHealth is the leading provider of home-based complex #healthcare for high-cost and rising-risk #patient populations.,2015-09-04 18:51:30,1031,4243,561,False,2020-07-24 23:50:02,#QuickHealthTip from @ConcertoHealth. Stay connected! Talking with loved ones while in isolation during the… https://t.co/brSUfKeeg5,['QuickHealthTip'],Sprout Social,False
Rocky Scopelliti,Sydney NSW,Futurologist | Author | International Keynote Speaker | Commentator | Industry 4.0 | Board Director,2012-06-26 19:02:32,1030,988,2040,False,2020-07-24 23:50:10,A Newly-Discovered Tiny CRISPR Protein Packs a Giant Punch For Human Gene Editing https://t.co/UyUX1rDoEO via… https://t.co/Udw7rlS5gn,,Twitter for iPad,False
JAYNIE SEAL,,Anchor: HEADLINE NEWS Wed-Fri 6 - 8.30am Ch 603 @foxtel & #SkyNewsonWIN | Co-host WEEKEND EDITION @SkyNewsAust | Ambassador | MC | https://t.co/fhW7z8e0ut,2010-11-26 03:26:34,23196,959,2898,True,2020-07-24 23:50:12,"Coming up on #WeekendLive 10am-1pm AEST
* @michaelhawton Psychologist. High levels of anxiety in children &amp; vital t… https://t.co/RmfRMBWg3o",['WeekendLive'],Twitter Web App,False
Jeff SchwartZ,"Beautiful Canton, Ohio","Official Twitter of Jeff Schwartz #NoMee #TheBrotherhood #DukeGang #CorporateSellOut Love & Mercy, & Co-Host @anhonorablepod *I tweet what I'd say to your face.",2009-07-04 21:45:12,615,588,7292,False,2020-07-24 23:50:27,If anyone could destroy #COVID19 its @Zionwilliamson https://t.co/leX6GdJNev,['COVID19'],Twitter for iPhone,False
Anne Huang| 黃安安,birthplace of medicare in 🇨🇦,"#Canadian #immigrant #Taiwanese| Critical System-Level Thinker| Prev. Deputy MHO,FNIHB-SK, Health Canada| Grad of UofA FamMed, LSHTM MScCID, UBC MD & SFU BScH|",2016-01-20 06:40:55,1278,1073,18307,False,2020-07-24 23:50:49,"@SammyTheGorilla In #Taiwan, my understanding is that parents do play an important role. 

At same time, children w… https://t.co/op9q0D8s1T",['Taiwan'],Twitter for iPhone,False
Pullman WA Updates,"Pullman, Washington, USA","The latest from Pullman, home of WSU, SEL, WSU Cougars (Pac 12), National LentilFest. Award-winning hospital, schools. Great place to raise kids. #PullmanProud",2009-02-09 00:25:11,5052,3510,5102,False,2020-07-24 23:50:57,REGIONAL: 7 New Cases of Coronavirus have been Confirmed in Latah County - total now 61 after a big spike:… https://t.co/rvtYMpwDHl,,Twitter Web App,False
