date,posted_via,count,mean_score
2020-07-24,Other or custom app,1,0.0835
2020-07-24,Phone or tablet app,21,-0.4132
2020-07-24,Scheduling tool,4,-0.036
2020-07-24,TweetDeck,1,0.1345
2020-07-24,Twitter website,13,-0.1278
2020-07-25,Bot or auto-feed,1,-0.7543
2020-07-25,Cross-posted,1,0.3615
2020-07-25,Phone or tablet app,22,-0.2411
2020-07-25,Scheduling tool,4,0.1012
2020-07-25,TweetDeck,1,-0.7976
2020-07-25,Twitter website,11,-0.2688
2020-07-26,Bot or auto-feed,3,0.4252
2020-07-26,Cross-posted,2,-0.514
2020-07-26,Phone or tablet app,19,-0.0537
2020-07-26,Scheduling tool,2,0.2715
2020-07-26,TweetDeck,4,-0.2578
2020-07-26,Twitter website,10,-0.1838
2020-07-27,Bot or auto-feed,2,-0.5503
2020-07-27,Other or custom app,1,0.108
2020-07-27,Phone or tablet app,15,-0.0137
2020-07-27,Scheduling tool,2,-0.3714
2020-07-27,TweetDeck,1,-0.5967
2020-07-27,Twitter website,19,-0.3215
2020-07-28,Other or custom app,2,-0.1364
2020-07-28,Phone or tablet app,11,-0.4759
2020-07-28,Scheduling tool,3,-0.2754
2020-07-28,TweetDeck,6,0.0301
2020-07-28,Twitter website,17,-0.0397
2020-07-29,Cross-posted,1,0.2115
2020-07-29,Other or custom app,1,-0.8829
2020-07-29,Phone or tablet app,14,-0.074
2020-07-29,Scheduling tool,12,-0.0715
2020-07-29,TweetDeck,1,0.7712
2020-07-29,Twitter website,11,0.0258
2020-07-30,Cross-posted,1,-0.0739
2020-07-30,Phone or tablet app,22,-0.3054
2020-07-30,Scheduling tool,2,-0.0863
2020-07-30,TweetDeck,1,-0.4896
2020-07-30,Twitter website,14,-0.043
2020-07-31,Cross-posted,1,0.0875
2020-07-31,Other or custom app,2,-0.5806
2020-07-31,Phone or tablet app,11,-0.1034
2020-07-31,Scheduling tool,10,-0.1611
2020-07-31,TweetDeck,3,-0.1975
2020-07-31,Twitter website,13,-0.1241
2020-08-01,Bot or auto-feed,1,0.0229
2020-08-01,Phone or tablet app,25,-0.2112
2020-08-01,Scheduling tool,3,-0.2666
2020-08-01,TweetDeck,3,-0.5085
2020-08-01,Twitter website,8,-0.5723
2020-08-02,Bot or auto-feed,1,-0.1071
2020-08-02,Other or custom app,1,-0.0883
2020-08-02,Phone or tablet app,21,-0.3838
2020-08-02,Scheduling tool,6,-0.0223
2020-08-02,Twitter website,11,-0.3096
2020-08-04,Bot or auto-feed,1,-0.0769
2020-08-04,Other or custom app,1,-0.084
2020-08-04,Phone or tablet app,21,-0.1193
2020-08-04,Scheduling tool,3,0.0318
2020-08-04,TweetDeck,5,-0.2719
2020-08-04,Twitter website,9,-0.1266
2020-08-06,Other or custom app,1,-0.1384
2020-08-06,Phone or tablet app,14,-0.0844
2020-08-06,Scheduling tool,9,0.2193
2020-08-06,TweetDeck,1,0.0954
2020-08-06,Twitter website,15,0.0036
2020-08-07,Cross-posted,1,0.2806
2020-08-07,Phone or tablet app,16,-0.2129
2020-08-07,Scheduling tool,11,0.188
2020-08-07,TweetDeck,2,-0.0436
2020-08-07,Twitter website,10,0.259
2020-08-08,Cross-posted,1,0.2536
2020-08-08,Phone or tablet app,19,-0.0216
2020-08-08,Scheduling tool,5,0.2442
2020-08-08,TweetDeck,2,0.0333
2020-08-08,Twitter website,13,-0.1832
2020-08-09,Other or custom app,1,-0.1785
2020-08-09,Phone or tablet app,26,-0.2859
2020-08-09,Scheduling tool,2,-0.0184
2020-08-09,Twitter website,10,-0.2431
2020-08-10,Cross-posted,1,0.777
2020-08-10,Phone or tablet app,11,-0.0339
2020-08-10,Scheduling tool,7,-0.2368
2020-08-10,Twitter website,21,-0.0138
2020-08-11,Bot or auto-feed,1,-0.7386
2020-08-11,Cross-posted,1,0.8103
2020-08-11,Phone or tablet app,13,0.0813
