sentiment,term,mean_tfidf
Negative,people,0.03658
Negative,death,0.03278
Negative,case,0.02998
Negative,new,0.02295
Negative,trump,0.02116
Negative,pandemic,0.02065
Negative,one,0.01792
Negative,like,0.01748
Negative,news,0.01565
Negative,american,0.0142
Negative,say,0.01408
Negative,virus,0.01376
Neutral,case,0.0301
Neutral,new,0.02842
Neutral,pandemic,0.01813
Neutral,august,0.018
Neutral,mask,0.01488
Neutral,test,0.01325
Neutral,time,0.01255
Neutral,positive,0.01252
Neutral,update,0.01161
Neutral,get,0.01107
Neutral,tested,0.01102
Neutral,death,0.01094
Positive,day,0.02651
Positive,today,0.02558
Positive,great,0.02446
Positive,better,0.02299
Positive,good,0.02244
Positive,help,0.02166
Positive,free,0.02031
Positive,thank,0.01945
Positive,new,0.01784
Positive,health,0.01689
Positive,thanks,0.0168
Positive,best,0.01591
