tweet_id,tweet_text,posted_via,p_negative,p_neutral,p_positive,sentiment,sentiment_score,confidence,margin
t00021,@La_Primavera_GE The second wave is here. #COVID19 #COVID #coronavirus https://t.co/UFbO9G9JHz,Phone or tablet app,0.4803,0.4808,0.0389,Neutral,-0.4414,0.4808,0.0005
t00622,If you want to beat COVID-19 you need to ask yourself this question ‘What is the most important thing?’ and I hope... https://t.co/Cmjhx0mlN6,Scheduling tool,0.0387,0.4816,0.4797,Neutral,0.441,0.4816,0.0019
t00197,#CocaCola is a clear example of how #brands are maximizing #digitalmarketing in light of the #COVID19 pandemic's im... https://t.co/hicvkJsKOW,TweetDeck,0.0156,0.491,0.4935,Positive,0.4779,0.4935,0.0025
t00931,These 3 symptoms are common in people who have died of #COVID19 https://t.co/u3hCSQUq8S,Phone or tablet app,0.4884,0.4914,0.0202,Neutral,-0.4682,0.4914,0.003
t00676,Noam Chomsky: Trump Is Using Pandemic to Enrich Billionaires as Millions Lose Work https://t.co/4sifCJ2ImZ #COVID19 #billionaires,Twitter website,0.4832,0.4897,0.0271,Neutral,-0.4561,0.4897,0.0064
t00613,"Don't be the person referring to what you think are technical aspects of ""the vaccine"" as if they're all the same.... https://t.co/qZtPaHjylE",Phone or tablet app,0.4818,0.4888,0.0294,Neutral,-0.4524,0.4888,0.007
t00420,What if tadipar is just faking his illness ? What if it's just the publicity stunt to gain the popularity and sym... https://t.co/BDUkM8Jf4Z,Phone or tablet app,0.4975,0.4901,0.0124,Negative,-0.4851,0.4975,0.0075
t01026,TNT | ASSAM #COVID19: #Assam may face Oxygen shortage; 21 per cent positivity rate for #Tripura DETAILS: https://t.co/YmFMN9exLk,Twitter website,0.4873,0.4955,0.0172,Neutral,-0.4701,0.4955,0.0083
t00232,"Name 3 experts who are supremely confident of their ability to advise on any health issue, including #COVID19? My... https://t.co/LeKEw97Nb2",Twitter website,0.0255,0.4922,0.4823,Neutral,0.4568,0.4922,0.0099
t00102,"With offices physically unavailable, #cloud-based technology proved its reliability for continuing operations durin... https://t.co/SmwyD7h17O",Scheduling tool,0.0102,0.4891,0.5006,Positive,0.4904,0.5006,0.0115
t00017,"Now everyone can stay home, watch #MLB, keep #COVID19 from spreading further!",Phone or tablet app,0.061,0.4767,0.4622,Neutral,0.4012,0.4767,0.0145
t00718,#Rabobank Posts Net #Result of EUR 227 million for First Half-Year 2020 - https://t.co/VlZbr7xiPh #Coronavirus... https://t.co/tRnM5lOren,Other or custom app,0.4957,0.4809,0.0234,Negative,-0.4723,0.4957,0.0148
t00266,#COVID19 making a killing I bet https://t.co/wV6WqS5At1,Phone or tablet app,0.4425,0.4579,0.0996,Neutral,-0.3429,0.4579,0.0154
t01001,#COVID19 side effects https://t.co/446G22YRoC,Phone or tablet app,0.4831,0.5012,0.0157,Neutral,-0.4674,0.5012,0.0181
t00316,"$TRIB looks already busy with #COVID19 between Jamestown and their Immco facility in Buffalo, while they waiting f... https://t.co/MZQtjuTSzc",Twitter website,0.4963,0.477,0.0266,Negative,-0.4697,0.4963,0.0193
t00695,Just Read if you are going out partying and refusing to wear a mask #COVID19 #coronavirus https://t.co/hpEbyXlNaD,Phone or tablet app,0.4768,0.4977,0.0256,Neutral,-0.4512,0.4977,0.0209
t00726,"📰Today's headlines | Turkey’s death toll from coronavirus rises to 5,891 🔗https://t.co/mS2GjX4xer #Turkey #COVID19 https://t.co/o4FhmEdt4e",Twitter website,0.5011,0.4801,0.0188,Negative,-0.4823,0.5011,0.021
