tweet_id,date,hour,weekday,posted_via,country,sentiment,sentiment_score,confidence,margin
t00000,2020-07-24,23,Friday,Twitter website,,Positive,0.7791,0.7854,0.5772
t00001,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.9241,0.933,0.8748
t00002,2020-07-24,23,Friday,Twitter website,,Negative,-0.8616,0.8686,0.7442
t00003,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.8545,0.8627,0.7336
t00004,2020-07-24,23,Friday,Scheduling tool,United States,Neutral,0.3601,0.6281,0.2621
t00005,2020-07-24,23,Friday,Phone or tablet app,Australia,Neutral,0.1532,0.8304,0.669
t00006,2020-07-24,23,Friday,Twitter website,,Neutral,-0.0282,0.8996,0.8353
t00007,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.1027,0.4101,0.1027
t00008,2020-07-24,23,Friday,Phone or tablet app,,Neutral,0.199,0.7724,0.5591
t00009,2020-07-24,23,Friday,Twitter website,United States,Neutral,-0.1099,0.8085,0.6579
t00010,2020-07-24,23,Friday,Twitter website,United States,Neutral,0.0918,0.8636,0.7495
t00011,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.831,0.8411,0.6922
t00012,2020-07-24,23,Friday,Scheduling tool,United States,Neutral,-0.1355,0.8301,0.6774
t00013,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.9337,0.9408,0.8886
t00014,2020-07-24,23,Friday,Phone or tablet app,United Kingdom,Neutral,-0.0746,0.6764,0.4773
t00015,2020-07-24,23,Friday,Phone or tablet app,United States,Negative,-0.9204,0.9291,0.8669
t00016,2020-07-24,23,Friday,Phone or tablet app,,Positive,0.6852,0.6942,0.3973
t00017,2020-07-24,23,Friday,Phone or tablet app,,Neutral,0.4012,0.4767,0.0145
t00018,2020-07-24,23,Friday,Twitter website,United States,Negative,-0.5044,0.5283,0.0805
t00019,2020-07-24,23,Friday,Twitter website,United States,Neutral,0.0567,0.7201,0.5518
t00020,2020-07-24,23,Friday,Phone or tablet app,,Negative,-0.7497,0.7613,0.5342
